"two_year_recid","prior_counts","s","race","age","gender","u_hat"
0,0,1,1,2.93799933533711,0,-0.869447554247901
1,0,1,1,-0.0455641888072973,0,-0.907422467353437
1,4,1,1,-0.898010909991414,0,0.573396139891951
0,0,1,1,0.806882532376819,0,-0.936789634551228
1,14,1,0,0.551148516021584,0,1.57949280035514
0,3,1,1,0.721637860258407,0,0.35353956075227
0,0,1,0,0.380659171784761,1,-0.864459461901105
0,0,1,0,-0.642276893636179,0,-0.886282212856299
1,3,1,1,-0.983255582109825,0,0.367291302666313
0,0,1,0,0.210169827547938,1,-0.882801879230066
0,0,1,1,0.551148516021584,0,-0.890307976975576
1,1,1,0,1.06261654873205,1,-0.338834548169599
1,7,1,1,-0.301298205162532,0,1.02248183338073
0,0,1,1,0.210169827547938,0,-0.879288999137786
0,3,1,1,-0.812766237873002,0,0.358887535956083
1,6,1,0,-0.301298205162532,0,0.905132545367574
1,5,1,0,-0.301298205162532,0,0.754646591977922
1,13,1,1,2.51177597474505,0,1.5075716890915
1,1,1,1,-1.15374492634665,0,-0.347585245782205
1,0,1,0,-0.642276893636179,0,-0.860750523677008
0,0,1,0,-1.15374492634665,1,-0.868715474044571
1,1,1,1,-0.898010909991414,0,-0.299359479036854
0,1,1,0,0.721637860258407,0,-0.295666713221201
0,0,1,1,-0.216053533044121,0,-0.912628490264773
1,8,1,1,-0.642276893636179,0,1.13662181378334
1,5,1,1,-0.72752156575459,0,0.772671014374054
1,0,1,1,-0.130808860925709,0,-0.854168779961565
1,9,1,0,-0.386542877280944,0,1.21256578709567
1,4,1,1,-0.216053533044121,0,0.592129066206703
0,0,1,0,1.74457392567935,0,-0.90670689387319
1,7,1,1,1.23310589296888,0,1.01815870698885
1,4,1,0,-0.130808860925709,1,0.572829752378693
1,1,1,0,-0.898010909991414,0,-0.301971218132228
1,21,1,1,-0.0455641888072973,0,1.89235537383081
0,0,1,0,-0.471787549399356,0,-0.889321032460975
0,2,1,1,-1.15374492634665,1,0.0377561234095598
0,2,1,1,1.4035952372057,0,0.0341531794161651
1,2,1,0,-0.471787549399356,0,0.0868264466072249
0,7,1,1,1.4035952372057,1,1.01612434498143
1,0,1,1,-0.471787549399356,0,-0.894587698229263
1,9,1,0,-0.812766237873002,0,1.22388352032527
1,13,1,1,0.0396804833111143,0,1.52362547635396
0,0,1,0,1.23310589296888,0,-0.852782840145729
0,0,1,1,-0.471787549399356,0,-0.888396830813427
1,1,1,0,-0.471787549399356,0,-0.303798582581555
0,0,1,1,-0.557032221517767,1,-0.869199464935463
0,15,1,1,-0.301298205162532,0,1.63039765623848
1,2,1,1,-0.898010909991414,0,0.0666013641824215
0,0,1,1,-0.386542877280944,0,-0.897715419498962
0,4,1,1,1.23310589296888,0,0.57676417197304
0,8,1,0,1.57408458144252,0,1.12301986198385
0,5,1,1,0.0396804833111143,0,0.767283195667506
1,15,1,1,-0.642276893636179,0,1.63759759212417
1,4,1,0,0.295414499666349,0,0.584877962905616
1,1,1,1,-1.06850025422824,0,-0.292026519349567
1,4,1,1,-0.471787549399356,0,0.58345465852832
0,0,1,1,2.34128663050823,0,-0.902455794538349
1,6,1,1,-0.642276893636179,0,0.916514422240684
0,0,1,1,-0.130808860925709,0,-0.89781285668333
0,0,1,1,1.82981859779776,1,-0.885598998729812
1,6,1,1,0.892127204495231,0,0.899515500362244
0,1,1,1,-1.06850025422824,0,-0.325513719963625
0,1,1,1,0.380659171784761,0,-0.284723272085223
1,5,1,1,-0.471787549399356,0,0.75950819450387
1,1,1,0,-0.642276893636179,0,-0.335733577211574
0,2,1,1,0.465903843903173,0,0.0978331948390972
1,1,1,1,-1.06850025422824,0,-0.304027203418382
0,0,1,0,-1.06850025422824,0,-0.8765030336884
1,1,1,1,-0.72752156575459,1,-0.32925637429141
0,0,1,1,-0.216053533044121,0,-0.869863198835151
0,1,1,1,0.551148516021584,0,-0.320809453472533
1,8,1,1,-0.386542877280944,0,1.12645215878257
1,0,1,1,1.31835056508729,0,-0.895257267749873
1,14,1,1,-0.812766237873002,0,1.59956997543175
1,0,1,1,-1.23898959846506,0,-0.880126692334841
1,2,1,1,-1.06850025422824,0,0.054414975805094
0,1,1,1,0.0396804833111143,1,-0.326327057618254
1,9,1,1,0.124925155429526,0,1.2218382671264
1,7,1,0,-0.72752156575459,0,1.021115138645
1,1,1,1,-1.15374492634665,0,-0.299614993279466
1,9,1,0,-0.812766237873002,0,1.22782035806107
0,0,1,0,-1.23898959846506,1,-0.86478846776481
1,2,1,0,0.380659171784761,0,0.0726018617785487
0,0,1,0,1.65932925356094,1,-0.881603874772808
0,0,1,1,0.806882532376819,1,-0.878138421611373
1,1,1,1,-1.32423427058347,0,-0.296580704011564
0,1,1,1,-0.386542877280944,0,-0.344799511609771
1,0,1,0,0.380659171784761,1,-0.927680920268623
1,8,1,0,-0.898010909991414,0,1.13598374325698
0,0,1,0,-0.386542877280944,0,-0.863587170860738
0,0,1,0,-0.301298205162532,0,-0.889610383177171
0,1,1,0,0.380659171784761,1,-0.317054532401139
0,1,1,0,0.721637860258407,0,-0.330784280195576
1,3,1,1,-1.15374492634665,0,0.365586474177431
1,5,1,0,0.295414499666349,0,0.755695804348699
0,0,1,0,-0.0455641888072973,0,-0.886902917467881
1,5,1,1,-0.130808860925709,0,0.747777925222187
0,3,1,1,0.210169827547938,0,0.372251279978442
1,1,1,0,0.636393188139996,0,-0.351067107627917
1,10,1,1,0.551148516021584,0,1.32488290082887
1,0,1,1,-1.06850025422824,0,-0.921403490604248
1,28,1,1,-0.130808860925709,0,2.1323402954963
0,1,1,1,-0.301298205162532,0,-0.300880184982395
0,1,1,1,-0.386542877280944,1,-0.339902641257592
1,13,1,0,-0.301298205162532,0,1.53355021201253
1,3,1,1,-0.642276893636179,0,0.372367471510035
0,3,1,0,1.48883990932411,0,0.347088772898048
1,19,1,1,-0.130808860925709,0,1.83746406350317
0,6,1,0,0.636393188139996,0,0.905967802615352
0,2,1,0,-0.812766237873002,1,0.0643187491868117
0,1,1,0,-0.386542877280944,0,-0.337299928160815
0,2,1,1,0.210169827547938,1,0.0843626620108529
1,0,1,0,-0.557032221517767,0,-0.848205573762373
0,0,1,1,-0.898010909991414,1,-0.871819059822323
1,10,1,0,-0.471787549399356,1,1.29418751955087
1,2,1,0,0.806882532376819,0,0.0538054178891913
1,3,1,1,-0.216053533044121,0,0.339156016953424
1,2,1,0,-0.301298205162532,0,0.0589929470017077
0,1,1,1,-0.301298205162532,0,-0.323423402576581
1,1,1,0,2.08555261415299,0,-0.319881554193564
0,1,1,1,-1.23898959846506,1,-0.278141778100525
0,0,1,0,0.721637860258407,1,-0.886901110351449
1,9,1,1,0.295414499666349,0,1.23026627567441
1,11,1,1,-0.216053533044121,0,1.39510231564654
1,8,1,1,-0.130808860925709,0,1.13414859165517
1,0,1,1,-0.301298205162532,1,-0.900844221233652
1,7,1,1,-0.130808860925709,1,1.04696808447244
1,2,1,1,-0.642276893636179,0,0.0791212005066956
0,0,1,1,-1.23898959846506,1,-0.861303564074953
0,0,1,0,-0.72752156575459,1,-0.906448397628838
1,1,1,1,2.25604195838982,1,-0.323309583215509
1,13,1,1,1.48883990932411,0,1.53305648771455
0,1,1,1,2.42653130262664,0,-0.350413308793124
1,4,1,1,-0.216053533044121,1,0.583910233083588
0,1,1,1,-0.471787549399356,0,-0.335578789001477
1,2,1,1,-0.72752156575459,1,0.0455530314031059
0,1,1,0,0.380659171784761,0,-0.342054775262441
1,3,1,0,-0.386542877280944,1,0.370057676823239
0,1,1,1,-0.386542877280944,0,-0.332450689619926
0,2,1,0,1.14786122085047,0,0.0332289890031423
0,1,1,1,-1.06850025422824,0,-0.290869809134426
1,6,1,0,0.977371876613642,0,0.909862778465657
0,0,1,0,-0.301298205162532,0,-0.908144135025793
1,1,1,1,-0.812766237873002,0,-0.334048080905389
0,0,1,1,-0.983255582109825,0,-0.880920933094904
0,5,1,1,-0.216053533044121,1,0.743316459086563
0,2,1,1,1.48883990932411,0,0.0372837022571577
0,8,1,1,2.34128663050823,0,1.14192530693863
1,8,1,1,-0.301298205162532,0,1.14489866198388
1,6,1,1,-0.557032221517767,0,0.902674921716651
0,2,1,1,1.65932925356094,0,0.0949762550595307
0,0,1,1,2.00030794203458,0,-0.891386513714894
1,1,1,0,3.70520138440282,0,-0.297326357421619
0,0,1,0,1.82981859779776,0,-0.875470850523313
0,0,1,1,-0.898010909991414,0,-0.886386260837747
1,1,1,1,-1.06850025422824,0,-0.273572125620163
1,23,1,1,1.06261654873205,0,1.97936552854901
1,0,1,1,-0.983255582109825,0,-0.893128547348461
0,1,1,1,1.91506326991617,0,-0.306923771232195
0,3,1,1,2.68226531898188,0,0.358381564760287
1,8,1,0,0.892127204495231,0,1.14064410856868
1,2,1,1,0.210169827547938,0,0.0426225782750412
1,0,1,0,0.380659171784761,0,-0.867671137762696
1,9,1,1,-0.72752156575459,0,1.24329961977584
0,2,1,0,0.892127204495231,0,0.0656400665144951
1,0,1,1,-0.983255582109825,0,-0.897298785969505
0,2,1,1,-0.0455641888072973,0,0.0689917456668565
0,1,1,1,-0.983255582109825,1,-0.304722731949371
1,2,1,1,0.124925155429526,0,0.038079287401051
