"","bar_pass_fair","location","UGPA","LSAT","ZFYA","amerind","asian","black","hisp","mexican","other","puerto","white","female","male","u_hat"
"1",1,1,3,36,0.09,0,0,0,0,0,0,0,1,1,0,-0.158953766094718
"2",1,2,3.1,30,-0.35,0,0,0,0,0,0,0,1,0,1,-0.15070089342128
"3",1,5,2.2,39,0.58,0,0,0,1,0,0,0,0,0,1,0.13169550117457
"4",1,1,3.6,30,0.3,0,0,0,0,0,0,0,1,1,0,0.157455096128178
"5",1,1,3.6,36,-0.1,0,0,0,0,0,0,0,1,0,1,0.271413774742589
"6",1,1,2.6,37,1.53,0,0,0,0,0,0,0,1,1,0,-0.0408148768678855
"7",1,1,3.6,31,0.34,0,0,0,0,0,0,0,1,0,1,0.140590466930853
"8",1,1,3.2,41,1.53,0,0,0,0,0,0,0,1,0,1,0.464062256906665
"9",1,1,3.1,35,-0.68,0,0,0,0,0,0,0,1,0,1,-0.139122922659712
"10",1,5,3.2,35,-0.17,0,0,0,0,0,0,0,1,1,0,-0.0623439168844823
"11",1,6,2.9,35,-0.42,0,0,0,0,0,0,0,1,0,1,-0.288211407435752
"12",1,1,3.3,30,0.85,0,0,0,0,0,0,0,1,0,1,0.120467495809958
"13",1,1,3.9,40,2.48,0,0,0,0,0,0,0,1,0,1,1.09373331246006
"14",1,1,3.4,36,0.27,0,0,0,0,0,0,0,1,0,1,0.109497225340478
"15",1,1,2.7,29,0.88,0,0,0,0,0,0,0,1,0,1,-0.240466134134193
"16",1,1,3.2,37,0.58,0,0,0,0,0,0,0,1,0,1,0.246890714182278
"17",1,2,3.1,30,1.99,0,0,0,0,0,0,0,1,0,1,0.181606136382181
"18",1,1,3.1,31,0.51,0,1,0,0,0,0,0,0,0,1,0.19595799606653
"19",1,1,3.6,37,0.81,0,0,0,0,0,0,0,1,1,0,0.240960093242914
"20",1,5,2.8,29,-1.03,0,0,1,0,0,0,0,0,0,1,0.458975428601512
"21",1,5,3,35,-0.61,0,0,0,0,0,0,0,1,0,1,-0.197630112651566
"22",1,1,3.4,40,-0.73,0,0,0,0,0,0,0,1,0,1,0.0650104106396018
"23",1,2,2.9,29,-0.02,0,0,0,0,0,0,0,1,0,1,-0.3237299523944
"24",1,6,2.5,35,0.02,0,0,0,0,0,0,0,1,0,1,-0.318003566515051
"25",1,9,3.4,32,0.65,0,0,0,0,0,0,0,1,0,1,0.0624498473855392
"26",1,5,2.7,36,-0.05,0,0,0,0,0,0,0,1,1,0,-0.332942844515454
"27",1,1,3.3,36,0.53,0,0,0,0,0,0,0,1,0,1,0.1294080159721
"28",0,2,2.5,36,-1.1,0,0,0,0,0,0,0,1,0,1,-1.93154014621776
"29",1,1,3.6,36,1.18,0,0,0,0,0,0,0,1,0,1,0.515029123410241
"30",1,2,3.2,32,0.76,0,0,0,0,0,0,0,1,0,1,0.140277944634836
"31",0,1,3.5,27,-1.05,0,0,0,0,0,0,0,1,1,0,-1.74473406523998
"32",0,1,3.2,19,-0.7,0,0,1,0,0,0,0,0,1,0,-0.872023562360839
"33",1,1,3.1,35,1.71,0,0,0,0,0,0,0,1,1,0,0.167004450983181
"34",1,6,3.2,31,-0.82,0,0,0,1,0,0,0,0,1,0,0.185455453944903
"35",1,5,2.8,36,-0.17,0,0,0,0,0,0,0,1,0,1,-0.243334002487561
"36",1,1,3.7,38,-0.05,0,0,0,0,0,0,0,1,1,0,0.216191824405353
"37",1,3,3.2,34,0.37,0,0,0,0,0,0,0,1,0,1,0.0022790760584214
"38",1,1,2.8,38,0.44,0,0,0,0,0,0,0,1,0,1,-0.0958016346051234
"39",1,2,3.4,36,0.46,0,0,0,0,0,0,0,1,1,0,0.243056880266452
"40",1,1,3.7,31,-0.49,0,0,0,0,0,0,0,1,0,1,0.113059230075278
"41",1,5,2.6,23,0.48,0,0,1,0,0,0,0,0,1,0,0.425285925534977
"42",1,1,3.8,37,0.72,0,0,0,0,0,0,0,1,0,1,0.624235385059978
"43",1,1,3.3,33,-1.24,0,0,0,0,0,0,0,1,1,0,-0.178628502654168
"44",1,1,3.3,35,-0.7,0,0,0,0,0,0,0,1,0,1,-0.00303503974127088
"45",1,5,3.2,36,0.83,0,0,0,0,0,0,0,1,0,1,0.246417675986833
"46",1,1,3.4,41,-0.05,0,0,0,0,0,0,0,1,0,1,0.296372817301436
"47",1,1,3.5,34,0.55,0,0,0,0,0,0,0,1,1,0,0.297522383610352
"48",1,1,2.9,27,-0.77,0,1,0,0,0,0,0,0,1,0,-0.148184393143072
"49",0,5,3.3,29,-0.98,0,0,0,0,0,0,0,1,0,1,-1.80998909283781
"50",1,1,3.3,33,1.27,0,0,0,0,0,0,0,1,1,0,0.188158640745602
"51",1,2,2.9,32,-0.62,0,0,0,0,0,0,0,1,0,1,-0.338635159735792
"52",1,5,2.3,39,0.51,0,0,0,0,0,0,0,1,0,1,-0.257144765847464
"53",1,0,3.7,23,-0.17,0,1,0,0,0,0,0,0,0,1,0.142434484956982
"54",1,1,3.4,39,-0.56,0,0,0,0,0,0,0,1,1,0,0.0542319354770794
"55",1,1,3,39,-0.42,0,0,0,0,0,0,0,1,1,0,-0.12452351461536
"56",1,5,3.8,32,-0.08,0,0,0,0,0,0,0,1,1,0,0.267550444762078
"57",0,0,3.3,29,-1.19,0,0,0,0,0,0,0,1,0,1,-1.76166111378244
"58",1,1,3.3,36,-0.49,0,0,0,0,0,0,0,1,1,0,-0.0189893833409127
