"bar_pass_fair","location","UGPA","LSAT","ZFYA","race","gender","u_hat"
1,1,3.1,39,-0.98,0,0,0.0550410021065399
1,1,3,36,0.09,0,0,-0.00744343204555662
1,2,3.1,30,-0.35,0,1,0.182655415511676
1,5,2.2,39,0.58,1,1,0.218852919001054
1,1,3.4,37,-1.26,0,0,0.0459361910190866
1,1,3.6,30,0.3,0,0,-0.183515793455927
1,1,3.6,36,-0.1,0,1,-0.308274528191356
0,5,2.7,37,-0.12,0,1,1.51783194887558
1,1,2.6,37,1.53,0,0,-0.109088558895769
1,1,3.6,31,0.34,0,1,-0.220344069147888
1,1,3.2,41,1.53,0,1,-0.659304335682746
1,1,3.1,35,-0.68,0,1,0.135189861514609
1,5,3.2,35,-0.17,0,0,-0.0255464032028166
1,6,2.9,35,-0.42,0,1,0.187898009452166
1,6,2.3,41,-0.35,0,1,0.266285291876402
1,1,3.3,30,0.85,0,1,-0.142525244992892
1,1,3,36,0.04,0,0,0.00611040496358313
1,1,3.9,40,2.48,0,1,-1.30991751453755
1,1,3.4,36,0.27,0,1,-0.262880714600966
1,1,2.7,29,0.88,0,1,0.178678290037995
1,1,3.2,37,0.58,0,1,-0.239367378134069
1,2,3.1,30,1.99,0,1,-0.28952389391037
1,1,3.1,40,-0.8,0,1,-0.0107134563207173
1,1,3.1,31,0.51,1,1,-0.0203128575000848
1,1,3.6,37,0.81,0,0,-0.535199526464403
1,5,2.8,29,-1.03,1,1,0.470143012820757
1,1,2.8,34,-0.12,0,1,0.2309209883395
1,5,3,35,-0.61,0,1,0.183956160468029
1,1,3.4,40,-0.73,0,1,-0.179137837470624
1,5,2.6,36,-0.63,0,1,0.324597071917294
1,2,2.9,29,-0.02,0,1,0.276047799578007
1,6,2.5,35,0.02,0,1,0.282759908847134
1,10,3.4,32,0.65,0,1,-0.197882453228838
1,5,2.7,36,-0.05,0,0,0.207900057879384
1,1,3.3,36,0.53,0,1,-0.281579695301727
0,2,2.5,36,-1.1,0,1,1.67949051078717
1,1,3.6,38,1.41,0,1,-0.738970524038434
1,1,3.6,36,1.18,0,1,-0.631399471593185
